feature,importance
patient_age,0.19414950787455126
num_suspect_drugs,0.15914130198096732
num_drugs,0.14596490339251916
num_reactions,0.11155242629269298
sum_drug_risk,0.10643811025039798
avg_drug_risk,0.08706715684263645
max_drug_risk,0.08210188262487213
patient_weight,0.06334474760021076
patient_sex_male,0.03397471699294617
patient_sex_unknown,0.01626524614820583
