drug_a,drug_b,total_reports,serious_reports,serious_rate,lift,risk_score
AMBIEN,NEXIUM,49,49,1.0,1.0982222653477076,53.812891002037674
AMITRIPTYLINE,PRILOSEC OTC,49,49,1.0,1.0982222653477076,53.812891002037674
AMITRIPTYLINE,PROTONIX,49,49,1.0,1.0982222653477076,53.812891002037674
CLINDAMYCIN,PRILOSEC OTC,49,49,1.0,1.0982222653477076,53.812891002037674
DIOVAN,PRILOSEC,49,49,1.0,1.0982222653477076,53.812891002037674
HUMIRA,INFLIXIMAB,49,49,1.0,1.0982222653477076,53.812891002037674
LORATADINE,PRILOSEC,49,49,1.0,1.0982222653477076,53.812891002037674
LORAZEPAM,PREVACID,49,49,1.0,1.0982222653477076,53.812891002037674
NEXIUM,VITAMIN D2,49,49,1.0,1.0982222653477076,53.812891002037674
PEPCID,PREVACID 24 HR,49,49,1.0,1.0982222653477076,53.812891002037674
PRAVASTATIN,PREVACID 24 HR,49,49,1.0,1.0982222653477076,53.812891002037674
AMLODIPINE,VITAMIN D,64,56,0.875,0.9609444821792442,53.812891002037674
DICLOFENAC,HUMIRA,64,56,0.875,0.9609444821792442,53.812891002037674
GLIPIZIDE,LEVOTHYROXINE,76,61,0.8026315789473685,0.8814678708711865,53.76954012314238
AMLODIPINE BESYLATE,AZITHROMYCIN ANHYDROUS,62,55,0.8870967741935484,0.9742294289374827,53.58261859156155
MELOXICAM,OMEPRAZOLE,69,58,0.8405797101449275,0.9231433534806818,53.54231450187954
ASPIRIN,VITAMIN B12,95,68,0.7157894736842105,0.7860959373015171,53.45452373650316
ASPIRIN,NITROGLYCERIN,60,54,0.9,0.9884000388129369,53.3736020958986
ATORVASTATIN,VITAMIN D,58,53,0.9137931034482759,1.0035479321280778,53.188040402788126
CELEBREX,GABAPENTIN,58,53,0.9137931034482759,1.0035479321280778,53.188040402788126
ATORVASTATIN,GLIMEPIRIDE,56,52,0.9285714285714286,1.0197778178228716,53.028446526789324
LOSARTAN,NAPROXEN,56,52,0.9285714285714286,1.0197778178228716,53.028446526789324
PREDNISONE,TRAZODONE,56,52,0.9285714285714286,1.0197778178228716,53.028446526789324
AMLODIPINE,OXYCODONE,54,51,0.9444444444444444,1.037209917272835,52.897705780914585
AMOXICILLIN,METHYLPREDNISOLONE,54,51,0.9444444444444444,1.037209917272835,52.897705780914585
DOXYCYCLINE,ONDANSETRON,54,51,0.9444444444444444,1.037209917272835,52.897705780914585
FAMOTIDINE,IBUPROFEN,54,51,0.9444444444444444,1.037209917272835,52.897705780914585
FUROSEMIDE,JANUVIA,54,51,0.9444444444444444,1.037209917272835,52.897705780914585
HYDROCODONE,TRAMADOL,54,51,0.9444444444444444,1.037209917272835,52.897705780914585
DOXYCYCLINE,LOSARTAN,52,50,0.9615384615384616,1.0559829474497189,52.79914737248595
GLIPIZIDE,HYDRALAZINE,52,50,0.9615384615384616,1.0559829474497189,52.79914737248595
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,TRAMADOL,52,50,0.9615384615384616,1.0559829474497189,52.79914737248595
LEVAQUIN,TRAMADOL,52,50,0.9615384615384616,1.0559829474497189,52.79914737248595
ATORVASTATIN,VITAMIN D3,70,58,0.8285714285714286,0.9099555912881008,52.77742429470985
AMITRIPTYLINE,AMOXICILLIN,50,49,0.98,1.0762578200407535,52.73663318199693
ATORVASTATIN,LEVOFLOXACIN,50,49,0.98,1.0762578200407535,52.73663318199693
BENICAR,NEXIUM,50,49,0.98,1.0762578200407535,52.73663318199693
CEPHALEXIN,PEPCID,50,49,0.98,1.0762578200407535,52.73663318199693
CIPROFLOXACIN,LIPITOR,50,49,0.98,1.0762578200407535,52.73663318199693
FLUCONAZOLE,TRAMADOL,50,49,0.98,1.0762578200407535,52.73663318199693
GABAPENTIN,LIPITOR,50,49,0.98,1.0762578200407535,52.73663318199693
IBUPROFEN,TUMS,50,49,0.98,1.0762578200407535,52.73663318199693
PANTOPRAZOLE,PRAVASTATIN,50,49,0.98,1.0762578200407535,52.73663318199693
SIMVASTATIN,ZOLPIDEM,50,49,0.98,1.0762578200407535,52.73663318199693
ALPRAZOLAM,PREVACID 24 HR,48,48,1.0,1.0982222653477076,52.714668736689966
AMITRIPTYLINE,NEXIUM 24HR,48,48,1.0,1.0982222653477076,52.714668736689966
CARVEDILOL,PREVACID 24 HR,48,48,1.0,1.0982222653477076,52.714668736689966
CITALOPRAM,PRILOSEC,48,48,1.0,1.0982222653477076,52.714668736689966
CYCLOBENZAPRINE,METHYLPREDNISOLONE,48,48,1.0,1.0982222653477076,52.714668736689966
DULOXETINE,NEXIUM,48,48,1.0,1.0982222653477076,52.714668736689966
FLUOXETINE,METFORMIN,48,48,1.0,1.0982222653477076,52.714668736689966
FLUTICASONE,NEXIUM 24HR,48,48,1.0,1.0982222653477076,52.714668736689966
FLUTICASONE,TRAMADOL,48,48,1.0,1.0982222653477076,52.714668736689966
HYDROXYCHLOROQUINE,XELJANZ,48,48,1.0,1.0982222653477076,52.714668736689966
LEVEMIR,NEXIUM,48,48,1.0,1.0982222653477076,52.714668736689966
NEXIUM,NITROSTAT,48,48,1.0,1.0982222653477076,52.714668736689966
ATENOLOL,ATORVASTATIN,61,54,0.8852459016393442,0.9721967594881347,52.49862501235927
FAMOTIDINE,PREDNISONE,61,54,0.8852459016393442,0.9721967594881347,52.49862501235927
ASPIRIN,TAMSULOSIN,73,59,0.8082191780821918,0.887604296650887,52.36865350240234
AZITHROMYCIN ANHYDROUS,TYLENOL,59,53,0.8983050847457628,0.9865386451428562,52.28654819257138
LEVOTHYROXINE,ONDANSETRON,59,53,0.8983050847457628,0.9865386451428562,52.28654819257138
ATENOLOL,GLIPIZIDE,57,52,0.9122807017543859,1.0018869789136982,52.098122903512305
MELOXICAM,SIMVASTATIN,57,52,0.9122807017543859,1.0018869789136982,52.098122903512305
ACETAMINOPHEN,ALLOPURINOL,55,51,0.9272727272727272,1.0183515551406017,51.935929312170686
AMOXICILLIN,HYDROCODONE,55,51,0.9272727272727272,1.0183515551406017,51.935929312170686
BENZONATATE,PREDNISONE,64,55,0.859375,0.9437847592831863,51.90816176057525
GABAPENTIN,METOPROLOL TARTRATE,64,55,0.859375,0.9437847592831863,51.90816176057525
HYDROCODONE,IBUPROFEN,64,55,0.859375,0.9437847592831863,51.90816176057525
ADVAIR HFA,NEXIUM,53,50,0.9433962264150944,1.0360587408940638,51.80293704470319
NEXIUM,VITAMIN B12,53,50,0.9433962264150944,1.0360587408940638,51.80293704470319
ALBUTEROL,AMLODIPINE,51,49,0.9607843137254902,1.0551547255301506,51.702581550977385
ALLOPURINOL,HYDROCHLOROTHIAZIDE,51,49,0.9607843137254902,1.0551547255301506,51.702581550977385
ALLOPURINOL,SPIRONOLACTONE,51,49,0.9607843137254902,1.0551547255301506,51.702581550977385
FAMOTIDINE,ONDANSETRON,51,49,0.9607843137254902,1.0551547255301506,51.702581550977385
GABAPENTIN,PLAVIX,51,49,0.9607843137254902,1.0551547255301506,51.702581550977385
AMLODIPINE BESYLATE,GLIPIZIDE,62,54,0.8709677419354839,0.9565161665931647,51.651872996030896
ACTEMRA,ARAVA,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
AMOXICILLIN,GLIPIZIDE,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
ATORVASTATIN,ESOMEPRAZOLE,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
CEPHALEXIN,CLONIDINE,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
CIPROFLOXACIN,GLIPIZIDE,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
METRONIDAZOLE,TRAMADOL,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
NEXIUM,NITROFURANTOIN,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
PROMETHAZINE,TRAZODONE,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
REMICADE,RITUXAN,49,48,0.9795918367346939,1.0758095660548974,51.63885917063507
ACTEMRA,REMICADE,47,47,1.0,1.0982222653477076,51.61644647134226
AMITRIPTYLINE,PANTOPRAZOLE,47,47,1.0,1.0982222653477076,51.61644647134226
AMOXICILLIN,PARACETAMOL,47,47,1.0,1.0982222653477076,51.61644647134226
ASPIRIN,ZOLPIDEM,47,47,1.0,1.0982222653477076,51.61644647134226
ATORVASTATIN,TUMS,47,47,1.0,1.0982222653477076,51.61644647134226
AZITHROMYCIN,NEXIUM,47,47,1.0,1.0982222653477076,51.61644647134226
CARVEDILOL,PROMETHAZINE,47,47,1.0,1.0982222653477076,51.61644647134226
CRESTOR,NEXIUM 24HR,47,47,1.0,1.0982222653477076,51.61644647134226
LANSOPRAZOLE,PROTONIX,47,47,1.0,1.0982222653477076,51.61644647134226
LYRICA,PRILOSEC OTC,47,47,1.0,1.0982222653477076,51.61644647134226
METFORMIN,SITAGLIPTIN PHOSPHATE,47,47,1.0,1.0982222653477076,51.61644647134226
METOPROLOL TARTRATE,PREVACID,47,47,1.0,1.0982222653477076,51.61644647134226
NOVOLOG,PRILOSEC,47,47,1.0,1.0982222653477076,51.61644647134226
PEPCID,TUMS,47,47,1.0,1.0982222653477076,51.61644647134226
DEXAMETHASONE,ONDANSETRON,60,53,0.8833333333333333,0.9700963343904752,51.41510572269519
MELOXICAM,METFORMIN,60,53,0.8833333333333333,0.9700963343904752,51.41510572269519
ASPIRIN,LORAZEPAM,67,56,0.835820895522388,0.9179171173055467,51.403358569110615
ENBREL,FOLIC ACID,77,60,0.7792207792207793,0.8557576093618502,51.34545656171101
DICLOFENAC,OMEPRAZOLE,72,58,0.8055555555555556,0.8846790470856535,51.3113847309679
CYMBALTA,PRILOSEC,58,52,0.896551724137931,0.9846130654841517,51.19987940517589
OXYCODONE,PROMETHAZINE,58,52,0.896551724137931,0.9846130654841517,51.19987940517589
FUROSEMIDE,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,56,51,0.9107142857142857,1.0001667059416623,51.00850200302477
FUROSEMIDE,POTASSIUM,56,51,0.9107142857142857,1.0001667059416623,51.00850200302477
ONDANSETRON,SIMVASTATIN,56,51,0.9107142857142857,1.0001667059416623,51.00850200302477
PREDNISONE,RITUXAN,56,51,0.9107142857142857,1.0001667059416623,51.00850200302477
ATORVASTATIN,POTASSIUM CHLORIDE,54,50,0.9259259259259259,1.0168724679145442,50.843623395727214
DICLOFENAC,IBUPROFEN,54,50,0.9259259259259259,1.0168724679145442,50.843623395727214
FUROSEMIDE,HUMALOG,54,50,0.9259259259259259,1.0168724679145442,50.843623395727214
FLUTICASONE,GABAPENTIN,63,54,0.8571428571428571,0.9413333702980351,50.832001996093894
GABAPENTIN,PROAIR HFA,63,54,0.8571428571428571,0.9413333702980351,50.832001996093894
ACYCLOVIR,DEXAMETHASONE,109,71,0.6513761467889908,0.7153557875200665,50.79026091392472
ALLOPURINOL,CLOPIDOGREL,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
AMOXICILLIN,LEVAQUIN,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
BACLOFEN,NEXIUM,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
CIMZIA,ENBREL,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
CLONAZEPAM,TRAZODONE,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
LANTUS,PROTONIX,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
OMEPRAZOLE,SERTRALINE,52,49,0.9423076923076923,1.0348632885007245,50.7083011365355
LOSARTAN,METOPROLOL,68,56,0.8235294117647058,0.9044183361687004,50.64742682544722
ACETAMINOPHEN,HYDROCHLOROTHIAZIDE,50,48,0.96,1.0542933747337992,50.60608198722236
ALPRAZOLAM,SIMVASTATIN,50,48,0.96,1.0542933747337992,50.60608198722236
CARVEDILOL,ONDANSETRON,50,48,0.96,1.0542933747337992,50.60608198722236
GLIPIZIDE,ZANTAC,50,48,0.96,1.0542933747337992,50.60608198722236
HYDROCODONE/ACETAMINOPHEN,NEXIUM,50,48,0.96,1.0542933747337992,50.60608198722236
MELOXICAM,RANITIDINE,50,48,0.96,1.0542933747337992,50.60608198722236
NEXIUM,SUCRALFATE,50,48,0.96,1.0542933747337992,50.60608198722236
PROMETHAZINE,SIMVASTATIN,50,48,0.96,1.0542933747337992,50.60608198722236
PROTONIX,TRAZODONE,50,48,0.96,1.0542933747337992,50.60608198722236
EMPAGLIFLOZIN,LISINOPRIL,61,53,0.8688524590163934,0.95419311579391,50.57223513707723
GABAPENTIN,SYNTHROID,61,53,0.8688524590163934,0.95419311579391,50.57223513707723
ALPRAZOLAM,PROMETHAZINE,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
AMLODIPINE BESYLATE,CEPHALEXIN,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
ATORVASTATIN,FLUCONAZOLE,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
BISOPROLOL,LANSOPRAZOLE,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
DIAZEPAM,METFORMIN,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
HYDROXYCHLOROQUINE SULFATE,PREDNISONE,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
LISINOPRIL,LORATADINE,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
MUPIROCIN,NEXIUM,48,47,0.9791666666666666,1.0753426348196304,50.54110383652262
ACIPHEX,AZITHROMYCIN ANHYDROUS,46,46,1.0,1.0982222653477076,50.51822420599455
ARAVA,REMICADE,46,46,1.0,1.0982222653477076,50.51822420599455
AZITHROMYCIN ANHYDROUS,LANSOPRAZOLE,46,46,1.0,1.0982222653477076,50.51822420599455
BENZONATATE,PRILOSEC OTC,46,46,1.0,1.0982222653477076,50.51822420599455
CIPROFLOXACIN,VANCOMYCIN,46,46,1.0,1.0982222653477076,50.51822420599455
DEXILANT,HYDROCHLOROTHIAZIDE,46,46,1.0,1.0982222653477076,50.51822420599455
DEXILANT,LEVOFLOXACIN,46,46,1.0,1.0982222653477076,50.51822420599455
DEXILANT,ONDANSETRON,46,46,1.0,1.0982222653477076,50.51822420599455
HYDROCODONE,PROTONIX,46,46,1.0,1.0982222653477076,50.51822420599455
LEFLUNOMIDE,PLAQUENIL,46,46,1.0,1.0982222653477076,50.51822420599455
LIPITOR,NEXIUM 24HR,46,46,1.0,1.0982222653477076,50.51822420599455
LOSARTAN,PREVACID 24 HR,46,46,1.0,1.0982222653477076,50.51822420599455
MELOXICAM,PREVACID 24 HR,46,46,1.0,1.0982222653477076,50.51822420599455
METOPROLOL TARTRATE,NEXIUM 24HR,46,46,1.0,1.0982222653477076,50.51822420599455
PLAVIX,SIMVASTATIN,46,46,1.0,1.0982222653477076,50.51822420599455
PRILOSEC OTC,TRAZODONE,46,46,1.0,1.0982222653477076,50.51822420599455
PROTONIX,ROLAIDS,46,46,1.0,1.0982222653477076,50.51822420599455
RANITIDINE,TUMS,46,46,1.0,1.0982222653477076,50.51822420599455
AMLODIPINE BESYLATE,GABAPENTIN,66,55,0.8333333333333334,0.9151852211230898,50.33518716176994
ASPIRIN,ATENOLOL,66,55,0.8333333333333334,0.9151852211230898,50.33518716176994
DICLOFENAC,LISINOPRIL,66,55,0.8333333333333334,0.9151852211230898,50.33518716176994
GLIPIZIDE,RANITIDINE,59,52,0.8813559322033898,0.9679247084420475,50.33208483898647
ASPIRIN,HYDROCODONE,57,51,0.8947368421052632,0.9826199216268964,50.11361600297172
COSENTYX,NAPROXEN,57,51,0.8947368421052632,0.9826199216268964,50.11361600297172
CRESTOR,GABAPENTIN,55,50,0.9090909090909091,0.9983838775888252,49.91919387944126
ALBUTEROL,METFORMIN,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
AMOXICILLIN,LORAZEPAM,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
ATORVASTATIN,SERTRALINE,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
CARVEDILOL,SIMVASTATIN,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
CYCLOBENZAPRINE,LEVOTHYROXINE,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
HYDROXYCHLOROQUINE,LEFLUNOMIDE,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
METHYLPREDNISOLONE,OMEPRAZOLE,53,49,0.9245283018867925,1.0153375660761825,49.751540737732945
ASPIRIN,LEVAQUIN,51,48,0.9411764705882353,1.033620955621372,49.61380586982585
CEPHALEXIN,LEVAQUIN,51,48,0.9411764705882353,1.033620955621372,49.61380586982585
LOSARTAN,PRAVASTATIN,51,48,0.9411764705882353,1.033620955621372,49.61380586982585
AMOXICILLIN,CARVEDILOL,49,47,0.9591836734693877,1.053396866762087,49.50965273781809
AZITHROMYCIN ANHYDROUS,SPIRONOLACTONE,49,47,0.9591836734693877,1.053396866762087,49.50965273781809
CIMZIA,METHOTREXATE,49,47,0.9591836734693877,1.053396866762087,49.50965273781809
CIPROFLOXACIN,ZOLPIDEM,49,47,0.9591836734693877,1.053396866762087,49.50965273781809
DOXYCYCLINE,MELOXICAM,49,47,0.9591836734693877,1.053396866762087,49.50965273781809
LEVOFLOXACIN,ONDANSETRON,49,47,0.9591836734693877,1.053396866762087,49.50965273781809
ACETAMINOPHEN,DIAZEPAM,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
ACTEMRA,PLAQUENIL,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
ALBUTEROL,TRAMADOL,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
AMITRIPTYLINE,OMEPRAZOLE,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
GABAPENTIN,SITAGLIPTIN,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
HYDROXYCHLOROQUINE,SULFASALAZINE,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
NEXIUM,NYSTATIN,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
NEXIUM,SPIRIVA,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
NEXIUM,ZETIA,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
PANTOPRAZOLE,SPIRONOLACTONE,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
PLAQUENIL,SULFASALAZINE,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
PRILOSEC,SERTRALINE,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
RITUXAN,SULFASALAZINE,47,46,0.9787234042553191,1.074855834170097,49.443368371824455
ASPIRIN,CALCIUM,91,64,0.7032967032967034,0.7723760987060801,49.43207031718913
ACETAMINOPHEN,CARVEDILOL,45,45,1.0,1.0982222653477076,49.42000194064684
ACETAMINOPHEN,DEXILANT,45,45,1.0,1.0982222653477076,49.42000194064684
ACTEMRA,HYDROXYCHLOROQUINE SULFATE,45,45,1.0,1.0982222653477076,49.42000194064684
AMLODIPINE,LIPITOR,45,45,1.0,1.0982222653477076,49.42000194064684
AMLODIPINE BESYLATE,PROTONIX,45,45,1.0,1.0982222653477076,49.42000194064684
CELEBREX,PRILOSEC,45,45,1.0,1.0982222653477076,49.42000194064684
CLONIDINE,PREVACID 24 HR,45,45,1.0,1.0982222653477076,49.42000194064684
CYCLOBENZAPRINE,LORAZEPAM,45,45,1.0,1.0982222653477076,49.42000194064684
DEXILANT,TUMS,45,45,1.0,1.0982222653477076,49.42000194064684
FENOFIBRATE,NEXIUM,45,45,1.0,1.0982222653477076,49.42000194064684
FLUTICASONE,PRILOSEC OTC,45,45,1.0,1.0982222653477076,49.42000194064684
FUROSEMIDE,PEPCID,45,45,1.0,1.0982222653477076,49.42000194064684
HYDROCODONE,PRILOSEC OTC,45,45,1.0,1.0982222653477076,49.42000194064684
HYDROXYCHLOROQUINE,PLAQUENIL,45,45,1.0,1.0982222653477076,49.42000194064684
HYDROXYZINE,NEXIUM,45,45,1.0,1.0982222653477076,49.42000194064684
LEVAQUIN,NEXIUM 24HR,45,45,1.0,1.0982222653477076,49.42000194064684
LIPITOR,TRAMADOL,45,45,1.0,1.0982222653477076,49.42000194064684
PRILOSEC,WARFARIN,45,45,1.0,1.0982222653477076,49.42000194064684
CYMBALTA,LYRICA,65,54,0.8307692307692308,0.9123692665965573,49.267940396214094
METFORMIN,VITAMIN D,75,58,0.7733333333333333,0.8492918852022273,49.25892934172918
ATORVASTATIN,LORAZEPAM,58,51,0.8793103448275862,0.9656781988402258,49.249588140851515
ATENOLOL,GABAPENTIN,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
BENZONATATE,CEPHALEXIN,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
CELEBREX,IBUPROFEN,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
CEPHALEXIN,TYLENOL,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
CLONAZEPAM,FUROSEMIDE,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
EMPAGLIFLOZIN,SIMVASTATIN,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
NAPROXEN,TRAZODONE,56,50,0.8928571428571429,0.9805555940604533,49.02777970302267
AMLODIPINE BESYLATE,OMEPRAZOLE,63,53,0.8412698412698413,0.9239012708480716,48.9667673549478
ACETAMINOPHEN,DEXAMETHASONE,54,49,0.9074074074074074,0.9965350185562534,48.83021590925642
DOXYCYCLINE,METOPROLOL,54,49,0.9074074074074074,0.9965350185562534,48.83021590925642
GABAPENTIN,JANUVIA,54,49,0.9074074074074074,0.9965350185562534,48.83021590925642
FUROSEMIDE,PROAIR HFA,61,52,0.8524590163934426,0.9361894720996852,48.681852549183624
CARVEDILOL,HYDROCHLOROTHIAZIDE,52,48,0.9230769230769231,1.0137436295517301,48.65969421848305
CIPROFLOXACIN,DIAZEPAM,52,48,0.9230769230769231,1.0137436295517301,48.65969421848305
LORAZEPAM,OXYCODONE,52,48,0.9230769230769231,1.0137436295517301,48.65969421848305
GABAPENTIN,TYLENOL,76,58,0.7631578947368421,0.8381169919758822,48.61078553460117
FLUTICASONE,PREDNISONE,66,54,0.8181818181818182,0.8985454898299428,48.52145645081691
ACETAMINOPHEN,GLIPIZIDE,50,47,0.94,1.0323289294268452,48.51945968306172
ATENOLOL,PREDNISONE,50,47,0.94,1.0323289294268452,48.51945968306172
CITALOPRAM,NAPROXEN,50,47,0.94,1.0323289294268452,48.51945968306172
GABAPENTIN,WARFARIN,50,47,0.94,1.0323289294268452,48.51945968306172
METFORMIN,PREDNISOLONE,50,47,0.94,1.0323289294268452,48.51945968306172
AZITHROMYCIN ANHYDROUS,CLONAZEPAM,59,51,0.864406779661017,0.9493107717412389,48.41484935880318
DEXAMETHASONE,FUROSEMIDE,59,51,0.864406779661017,0.9493107717412389,48.41484935880318
HYDROCHLOROTHIAZIDE,ONDANSETRON,59,51,0.864406779661017,0.9493107717412389,48.41484935880318
ALLOPURINOL,ONDANSETRON,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
ALPRAZOLAM,OXYCODONE,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
AZITHROMYCIN ANHYDROUS,ZOLPIDEM,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
CIPROFLOXACIN,TAMSULOSIN,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
CLOPIDOGREL,RAMIPRIL,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
DOXYCYCLINE HYCLATE,NEXIUM,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
LIPITOR,PREDNISONE,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
PANTOPRAZOLE,ZOLPIDEM,48,46,0.9583333333333334,1.0524630042915533,48.41329819741145
ALPRAZOLAM,LORAZEPAM,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
BENZONATATE,FUROSEMIDE,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
CEPHALEXIN,CRESTOR,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
CIPROFLOXACIN,METOCLOPRAMIDE,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
FAMOTIDINE,SIMVASTATIN,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
HYDROXYCHLOROQUINE SULFATE,PLAQUENIL,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
KLOR-CON,NEXIUM,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
RANITIDINE,TYLENOL,46,45,0.9782608695652174,1.0743478682749315,48.345654072371914
ACTEMRA,LEFLUNOMIDE,44,44,1.0,1.0982222653477076,48.32177967529913
ACTOS,NEXIUM,44,44,1.0,1.0982222653477076,48.32177967529913
AMLODIPINE BESYLATE,PRILOSEC OTC,44,44,1.0,1.0982222653477076,48.32177967529913
AMOXICILLIN,CLONIDINE,44,44,1.0,1.0982222653477076,48.32177967529913
AMOXICILLIN,HYDRALAZINE,44,44,1.0,1.0982222653477076,48.32177967529913
ARAVA,CIMZIA,44,44,1.0,1.0982222653477076,48.32177967529913
ARAVA,RITUXAN,44,44,1.0,1.0982222653477076,48.32177967529913
AZITHROMYCIN ANHYDROUS,LORATADINE,44,44,1.0,1.0982222653477076,48.32177967529913
ESCITALOPRAM,NEXIUM,44,44,1.0,1.0982222653477076,48.32177967529913
GLIPIZIDE,PROMETHAZINE,44,44,1.0,1.0982222653477076,48.32177967529913
HYDROXYCHLOROQUINE SULFATE,REMICADE,44,44,1.0,1.0982222653477076,48.32177967529913
LANSOPRAZOLE,SIMVASTATIN,44,44,1.0,1.0982222653477076,48.32177967529913
LEVOFLOXACIN,SIMVASTATIN,44,44,1.0,1.0982222653477076,48.32177967529913
LORAZEPAM,PRILOSEC OTC,44,44,1.0,1.0982222653477076,48.32177967529913
LORAZEPAM,PROTONIX,44,44,1.0,1.0982222653477076,48.32177967529913
METOCLOPRAMIDE,TRAMADOL,44,44,1.0,1.0982222653477076,48.32177967529913
METRONIDAZOLE,NEXIUM 24HR,44,44,1.0,1.0982222653477076,48.32177967529913
MYLANTA,NEXIUM,44,44,1.0,1.0982222653477076,48.32177967529913
NAPROXEN,TUMS,44,44,1.0,1.0982222653477076,48.32177967529913
NEXIUM,PEPCID AC,44,44,1.0,1.0982222653477076,48.32177967529913
OXYCODONE,PREVACID 24 HR,44,44,1.0,1.0982222653477076,48.32177967529913
PANTOPRAZOLE,RAMIPRIL,44,44,1.0,1.0982222653477076,48.32177967529913
PEPTO-BISMOL,PREVACID,44,44,1.0,1.0982222653477076,48.32177967529913
PRILOSEC,SYMBICORT,44,44,1.0,1.0982222653477076,48.32177967529913
SITAGLIPTIN,SPIRONOLACTONE,44,44,1.0,1.0982222653477076,48.32177967529913
DICLOFENAC,GABAPENTIN,82,60,0.7317073170731707,0.8035772673275909,48.21463603965546
GABAPENTIN,PRAVASTATIN,64,53,0.828125,0.9094653134910704,48.20166161502673
ATORVASTATIN,LYRICA,57,50,0.8771929824561403,0.9633528643400944,48.167643217004716
FLUCONAZOLE,PREDNISONE,57,50,0.8771929824561403,0.9633528643400944,48.167643217004716
PREDNISONE,SPIRIVA,57,50,0.8771929824561403,0.9633528643400944,48.167643217004716
METFORMIN,VITAMIN D3,69,55,0.7971014492753623,0.8753945593351293,48.14670076343211
ATENOLOL,SIMVASTATIN,55,49,0.8909090909090909,0.9784162000370487,47.94239380181538
CITALOPRAM,LISINOPRIL,55,49,0.8909090909090909,0.9784162000370487,47.94239380181538
FUROSEMIDE,LORATADINE,55,49,0.8909090909090909,0.9784162000370487,47.94239380181538
OMEPRAZOLE,TRAZODONE,55,49,0.8909090909090909,0.9784162000370487,47.94239380181538
ATORVASTATIN,CLONIDINE,53,48,0.9056603773584906,0.9946163912583014,47.741586780398464
CLONAZEPAM,METFORMIN,53,48,0.9056603773584906,0.9946163912583014,47.741586780398464
