drug_a,drug_b,total_reports,serious_reports,serious_rate,lift,risk_score
PRILOSEC,TYLENOL,92,90,0.9782608695652174,1.0743478682749315,96.69130814474383
BISOPROLOL,RAMIPRIL,90,89,0.9888888888888889,1.086019795732733,96.65576182021324
FUROSEMIDE,SITAGLIPTIN,90,89,0.9888888888888889,1.086019795732733,96.65576182021324
PROTONIX,TUMS,90,89,0.9888888888888889,1.086019795732733,96.65576182021324
DEXILANT,TRAMADOL,88,88,1.0,1.0982222653477076,96.64355935059827
NEXIUM 24HR,RANITIDINE,88,88,1.0,1.0982222653477076,96.64355935059827
MELOXICAM,NAPROXEN,105,96,0.9142857142857143,1.0040889283179042,96.3925371185188
CIPROFLOXACIN,ONDANSETRON,101,94,0.9306930693069307,1.0221078509176686,96.07813798626086
CARVEDILOL,METFORMIN,99,93,0.9393939393939394,1.0316633401751194,95.94469063628611
LEVOTHYROXINE,PRILOSEC,97,92,0.9484536082474226,1.0416128702266918,95.82838406085564
ACETAMINOPHEN,TRAMADOL,95,91,0.9578947368421052,1.0519813278593833,95.73030083520388
HUMIRA,ORENCIA,93,90,0.967741935483871,1.062795740659072,95.65161665931647
MELOXICAM,TRAMADOL,93,90,0.967741935483871,1.062795740659072,95.65161665931647
GLICLAZIDE,SITAGLIPTIN,91,89,0.978021978021978,1.0740855122631427,95.5936105914197
ACETAMINOPHEN,PROTONIX,89,88,0.9887640449438202,1.0858826893325648,95.55767666126572
PROMETHAZINE,TRAMADOL,89,88,0.9887640449438202,1.0858826893325648,95.55767666126572
CRESTOR,PRILOSEC,87,87,1.0,1.0982222653477076,95.54533708525057
NEXIUM,ROLAIDS,87,87,1.0,1.0982222653477076,95.54533708525057
AMOXICILLIN,METFORMIN,100,93,0.93,1.0213467067733681,94.98524372992324
FUROSEMIDE,LEVOFLOXACIN,98,92,0.9387755102040817,1.0309841674692766,94.85054340717345
METFORMIN,NAPROXEN,109,97,0.8899082568807339,0.9773170618231894,94.79975499684937
FUROSEMIDE,NAPROXEN,96,91,0.9479166666666666,1.0410231890275146,94.73311020150382
CYCLOBENZAPRINE,FUROSEMIDE,92,89,0.967391304347826,1.0624106697385434,94.55454960673035
CLONIDINE,FUROSEMIDE,88,87,0.9886363636363636,1.0857424668778475,94.45959461837273
METHYLPREDNISOLONE,NEXIUM,88,87,0.9886363636363636,1.0857424668778475,94.45959461837273
BISOPROLOL,EMPAGLIFLOZIN,86,86,1.0,1.0982222653477076,94.44711481990285
IBUPROFEN,PREVACID 24 HR,86,86,1.0,1.0982222653477076,94.44711481990285
METOPROLOL,OMEPRAZOLE,112,98,0.875,0.9609444821792442,94.17255925356594
CYCLOBENZAPRINE,IBUPROFEN,99,92,0.9292929292929293,1.0205701859796878,93.89245711013129
IBUPROFEN,ONDANSETRON,93,89,0.956989247311828,1.0509868990961935,93.53783401956122
ASPIRIN,CLOPIDOGREL,106,95,0.8962264150943396,0.9842558038493607,93.50430136568927
HUMIRA,PREDNISONE,106,95,0.8962264150943396,0.9842558038493607,93.50430136568927
PREDNISONE,RANITIDINE,91,88,0.967032967032967,1.06201713572086,93.4575079434357
AZITHROMYCIN ANHYDROUS,METOPROLOL,89,87,0.9775280898876404,1.073543113317422,93.39825085861571
ENBREL,XELJANZ,89,87,0.9775280898876404,1.073543113317422,93.39825085861571
